Group,Category,AverageSize,AverageDeviation,PlaneSize
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
1,mutant_sax,59.41848167,9.404,2038.98255
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
2,mutant_sax,57.32094858,9.406,1992.63615
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
4,mutant_sax,71.1576595,5.984,2964.54465
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
5,mutant_sax,77.40557917,6.984,2519.40255
7,mutant_sax,73.12360042,8.887,3516.2505
7,mutant_sax,73.12360042,8.887,3516.2505
7,mutant_sax,73.12360042,8.887,3516.2505
7,mutant_sax,73.12360042,8.887,3516.2505
7,mutant_sax,73.12360042,8.887,3516.2505
7,mutant_sax,73.12360042,8.887,3516.2505
7,mutant_sax,73.12360042,8.887,3516.2505
7,mutant_sax,73.12360042,8.887,3516.2505
7,mutant_sax,73.12360042,8.887,3516.2505
7,mutant_sax,73.12360042,8.887,3516.2505
7,mutant_sax,73.12360042,8.887,3516.2505
